username,domain,dateVal
ycwvu9o2d0,gmail.com,2014-12-15
urvfhprwuf,hotmail.com,2014-12-15
mq31rotnr3,yahoo.com,2014-12-15
80op63mju8,gmail.com,2014-12-15
e47x5qv989,aol.com,2014-12-15
0nlbuzyjsn,yahoo.com,2014-12-15
02f7vb70rl,aol.com,2014-12-15
05b4qfg9vf,aol.com,2014-12-15
wqdgx292j4,aol.com,2014-12-15
hvf4zk4j6b,aol.com,2014-12-15
dl4r2e18di,hotmail.com,2014-12-15
8izz4t76km,hotmail.com,2014-12-15
vljhrb3suz,yahoo.com,2014-12-15
g45wy5425s,aol.com,2014-12-15
h49aabsqaf,gmail.com,2014-12-15
1cp7dqjm3o,hotmail.com,2014-12-15
34w1xq1pcr,hotmail.com,2014-12-15
w4z9qlg57s,hotmail.com,2014-12-15
biagxfewag,yahoo.com,2014-12-15
127v8v40aa,aol.com,2014-12-15
vm9h9fsst9,yahoo.com,2015-01-14
s1dt4pnovw,yahoo.com,2015-01-14
xuvf79wzxd,gmail.com,2015-01-14
mqqk9r6t1n,gmail.com,2015-01-14
yfbg27ajuv,yahoo.com,2015-01-14
mvnmyep26d,aol.com,2015-01-14
2j10gnwtdi,gmail.com,2015-01-14
ygxc1im206,yahoo.com,2015-01-14
7rgmof9a3e,aol.com,2015-01-14
de8ycm3r84,hotmail.com,2015-01-14
h0qdaleqsj,yahoo.com,2015-01-14
pq5ch1iof5,hotmail.com,2015-01-14
ldk0gvqtmb,gmail.com,2015-01-14
t8bndrdifi,yahoo.com,2015-01-14
pxnu6zphtu,gmail.com,2015-01-14
pgqm3w0baf,yahoo.com,2015-01-14
g61dgkhs00,aol.com,2015-01-14
a96cxnct3q,yahoo.com,2015-01-14
8rbrwv10fs,aol.com,2015-01-14
vm5kis0xo2,hotmail.com,2015-01-14
g05be9uuuf,yahoo.com,2015-01-14
st8pzkyr3o,yahoo.com,2015-01-14
dcrcvdrugn,aol.com,2015-01-14
npzzds0j0d,yahoo.com,2015-01-14
tpddis6e6b,hotmail.com,2015-01-14
g077qnabad,aol.com,2015-01-14
l8fmn9bhww,yahoo.com,2015-01-14
ucu3qxyw3k,aol.com,2015-01-14
km68b8n5my,yahoo.com,2015-01-14
5wjiia8z0g,yahoo.com,2015-01-14
azwj9bmujc,gmail.com,2015-01-14
di7a3z15lk,aol.com,2015-01-14
ajrlsgzv0b,hotmail.com,2015-01-14
gw4bim4hz3,yahoo.com,2015-01-14
q98hui68xl,aol.com,2015-01-14
4x5a41dxif,aol.com,2015-01-14
k48yuh95va,hotmail.com,2015-01-14
gycxaehuhn,hotmail.com,2015-01-14
xb5zfk51c7,hotmail.com,2015-01-14
2vqch2awwu,hotmail.com,2015-01-14
6q5datcx9w,yahoo.com,2015-02-14
osqb08bqlq,yahoo.com,2015-02-14
hy1ts6dava,gmail.com,2015-02-14
t0nrfm8w2y,gmail.com,2015-02-14
